-----------------------------------------|---------|----------|---------|---------|-------------------
File                                     | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-----------------------------------------|---------|----------|---------|---------|-------------------
  projects.service.ts                    |       0 |        0 |       0 |       0 | 1-420             
 src/modules/projects/dto                |       0 |      100 |     100 |       0 |                   
  create-operator.dto.ts                 |       0 |      100 |     100 |       0 | 1-18              
  create-project.dto.ts                  |       0 |      100 |     100 |       0 | 1-65              
  project-dashboard-overview.dto.ts      |       0 |      100 |     100 |       0 | 1                 
  update-project.dto.ts                  |       0 |      100 |     100 |       0 | 1-4               
 src/modules/projects/entities           |       0 |      100 |     100 |       0 |                   
  project.entity.ts                      |       0 |      100 |     100 |       0 | 1                 
 src/modules/purchase-orders             |       0 |        0 |       0 |       0 |                   
  purchase-orders.controller.ts          |       0 |        0 |       0 |       0 | 1-35              
  purchase-orders.module.ts              |       0 |      100 |     100 |       0 | 1-12              
  purchase-orders.service.ts             |       0 |        0 |       0 |       0 | 1-120             
 src/modules/purchase-orders/dto         |       0 |      100 |     100 |       0 |                   
  create-purchase-order.dto.ts           |       0 |      100 |     100 |       0 | 1-8               
  update-purchase-order.dto.ts           |       0 |      100 |     100 |       0 | 1-4               
 src/modules/purchase-orders/entities    |       0 |      100 |     100 |       0 |                   
  purchase-order.entity.ts               |       0 |      100 |     100 |       0 | 1                 
 src/modules/reports                     |       0 |        0 |       0 |       0 |                   
  reports.controller.ts                  |       0 |        0 |       0 |       0 | 1-46              
  reports.module.ts                      |       0 |      100 |     100 |       0 | 1-11              
  reports.service.ts                     |       0 |        0 |       0 |       0 | 1-855             
 src/modules/reports/dto                 |       0 |      100 |     100 |       0 |                   
  create-report.dto.ts                   |       0 |      100 |     100 |       0 | 1                 
  update-report.dto.ts                   |       0 |      100 |     100 |       0 | 1-4               
 src/modules/reports/entities            |       0 |      100 |     100 |       0 |                   
  report.entity.ts                       |       0 |      100 |     100 |       0 | 1                 
 src/modules/rfis                        |       0 |        0 |       0 |       0 |                   
  rfis.controller.ts                     |       0 |        0 |       0 |       0 | 1-35              
  rfis.module.ts                         |       0 |      100 |     100 |       0 | 1-11              
  rfis.service.ts                        |       0 |        0 |       0 |       0 | 1-55              
 src/modules/rfis/dto                    |       0 |      100 |     100 |       0 |                   
  create-rfi.dto.ts                      |       0 |      100 |     100 |       0 | 1                 
  update-rfi.dto.ts                      |       0 |      100 |     100 |       0 | 1-4               
 src/modules/rfis/entities               |       0 |      100 |     100 |       0 |                   
  rfi.entity.ts                          |       0 |      100 |     100 |       0 | 1                 
 src/modules/rfqs                        |       0 |        0 |       0 |       0 |                   
  rfqs.controller.ts                     |       0 |        0 |       0 |       0 | 1-35              
  rfqs.module.ts                         |       0 |      100 |     100 |       0 | 1-11              
  rfqs.service.ts                        |       0 |        0 |       0 |       0 | 1-51              
 src/modules/rfqs/dto                    |       0 |      100 |     100 |       0 |                   
  create-rfq.dto.ts                      |       0 |      100 |     100 |       0 | 1                 
  update-rfq.dto.ts                      |       0 |      100 |     100 |       0 | 1-4               
 src/modules/rfqs/entities               |       0 |      100 |     100 |       0 |                   
  rfq.entity.ts                          |       0 |      100 |     100 |       0 | 1                 
 src/modules/scrum                       |       0 |        0 |       0 |       0 |                   
  scrum.controller.ts                    |       0 |        0 |       0 |       0 | 1-230             
  scrum.module.ts                        |       0 |      100 |     100 |       0 | 1-12              
  scrum.service.ts                       |       0 |        0 |       0 |       0 | 1-958             
 src/modules/scrum/dto                   |       0 |        0 |       0 |       0 |                   
  add-sprint-items.dto.ts                |       0 |      100 |     100 |       0 | 1-6               
  assign-backlog-item.dto.ts             |       0 |      100 |     100 |       0 | 1-5               
  close-sprint.dto.ts                    |       0 |      100 |     100 |       0 | 1-14              
  convert-activity.dto.ts                |       0 |      100 |     100 |       0 | 1-8               
  create-backlog-item.dto.ts             |       0 |        0 |       0 |       0 | 1-94              
  create-daily-update.dto.ts             |       0 |      100 |     100 |       0 | 1-33              
  create-impediment.dto.ts               |       0 |        0 |       0 |       0 | 1-48              
  create-scrum-project.dto.ts            |       0 |      100 |     100 |       0 | 1-49              
  create-sprint.dto.ts                   |       0 |        0 |       0 |       0 | 1-38              
  dashboard-metrics.dto.ts               |       0 |      100 |     100 |       0 | 1-16              
  reorder-items.dto.ts                   |       0 |      100 |     100 |       0 | 1-9               
  update-backlog-item.dto.ts             |       0 |      100 |     100 |       0 | 1-4               
  update-item-status.dto.ts              |       0 |        0 |       0 |       0 | 1-13              
  update-sprint.dto.ts                   |       0 |      100 |     100 |       0 | 1-4               
 src/modules/subcontracts                |       0 |        0 |       0 |       0 |                   
  subcontracts.controller.ts             |       0 |        0 |       0 |       0 | 1-35              
  subcontracts.module.ts                 |       0 |      100 |     100 |       0 | 1-11              
  subcontracts.service.ts                |       0 |        0 |       0 |       0 | 1-61              
 src/modules/subcontracts/dto            |       0 |      100 |     100 |       0 |                   
  create-subcontract.dto.ts              |       0 |      100 |     100 |       0 | 1                 
  update-subcontract.dto.ts              |       0 |      100 |     100 |       0 | 1-4               
 src/modules/subcontracts/entities       |       0 |      100 |     100 |       0 |                   
  subcontract.entity.ts                  |       0 |      100 |     100 |       0 | 1                 
 src/modules/tenants                     |       0 |        0 |       0 |       0 |                   
  tenants.controller.ts                  |       0 |        0 |       0 |       0 | 1-32              
  tenants.module.ts                      |       0 |      100 |     100 |       0 | 1-11              
  tenants.service.ts                     |       0 |        0 |       0 |       0 | 1-41              
 src/modules/tenants/dto                 |       0 |      100 |     100 |       0 |                   
  create-tenant.dto.ts                   |       0 |      100 |     100 |       0 | 1                 
  update-tenant.dto.ts                   |       0 |      100 |     100 |       0 | 1-4               
 src/modules/tenants/entities            |       0 |      100 |     100 |       0 |                   
  tenant.entity.ts                       |       0 |      100 |     100 |       0 | 1                 
 src/modules/timesheets                  |       0 |        0 |       0 |       0 |                   
  timesheets.controller.ts               |       0 |        0 |       0 |       0 | 1-35              
  timesheets.module.ts                   |       0 |      100 |     100 |       0 | 1-13              
  timesheets.service.ts                  |       0 |        0 |       0 |       0 | 1-150             
 src/modules/timesheets/dto              |       0 |      100 |       0 |       0 |                   
  create-timesheet.dto.ts                |       0 |      100 |       0 |       0 | 1-36              
 src/modules/users                       |       0 |        0 |       0 |       0 |                   
  admin-users.controller.ts              |       0 |        0 |       0 |       0 | 1-72              
  invite.controller.ts                   |       0 |        0 |       0 |       0 | 1-60              
  users.controller.ts                    |       0 |        0 |       0 |       0 | 1-43              
  users.module.ts                        |       0 |      100 |     100 |       0 | 1-14              
  users.service.ts                       |       0 |        0 |       0 |       0 | 1-136             
 src/modules/users/dto                   |       0 |      100 |     100 |       0 |                   
  create-user.dto.ts                     |       0 |      100 |     100 |       0 | 1                 
  update-user.dto.ts                     |       0 |      100 |     100 |       0 | 1-4               
 src/modules/users/entities              |       0 |      100 |     100 |       0 |                   
  user.entity.ts                         |       0 |      100 |     100 |       0 | 1                 
 src/prisma                              |   31.25 |      100 |       0 |      25 |                   
  prisma.module.ts                       |       0 |      100 |     100 |       0 | 1-9               
  prisma.service.ts                      |   45.45 |      100 |       0 |   33.33 | 10-25             
 src/scripts                             |       0 |        0 |       0 |       0 |                   
  debug_ledger.ts                        |       0 |        0 |       0 |       0 | 2-99              
  debug_sprint_items.ts                  |       0 |        0 |       0 |       0 | 2-59              
  seed-resident.ts                       |       0 |        0 |       0 |       0 | 1-46              
  seed-test-project.ts                   |       0 |        0 |       0 |       0 | 1-109             
  sync_budget.ts                         |       0 |        0 |       0 |       0 | 2-64              
-----------------------------------------|---------|----------|---------|---------|-------------------
